"Название","Тип","Размер","Дата изменения","Уровень вложенности","Полный абсолютный путь"
".DS_Store","file","6.00390625 Kb","2020-03-10","1","./.DS_Store"
"cache","directory","0.15625 Kb","2020-05-11","1","./cache"
"currency_converter","directory","0.28125 Kb","2020-03-08","1","./currency_converter"
"__init__.py","file","0.0 Kb","2020-03-06","1","./__init__.py"
"README.md","file","0.01953125 Kb","2020-03-07","1","./README.md"
"dir_explorer","directory","0.25 Kb","2020-05-26","1","./dir_explorer"
".gitignore","file","0.0185546875 Kb","2020-04-26","1","./.gitignore"
"arith_list","directory","0.25 Kb","2020-03-07","1","./arith_list"
".git","directory","0.375 Kb","2020-05-26","1","./.git"
".vscode","directory","0.09375 Kb","2020-04-13","1","./.vscode"
"notebooks","directory","0.09375 Kb","2020-04-26","1","./notebooks"
"control","directory","0.28125 Kb","2020-05-14","1","./control"
"lru_cache.py","file","2.2216796875 Kb","2020-05-25","2","./cache/lru_cache.py"
"lfu_cache.py","file","0.185546875 Kb","2020-05-11","2","./cache/lfu_cache.py"
"__init__.py","file","0.0 Kb","2020-05-03","2","./cache/__init__.py"
"rate.yaml","file","0.318359375 Kb","2020-03-08","2","./currency_converter/rate.yaml"
"__init__.py","file","0.0 Kb","2020-03-08","2","./currency_converter/__init__.py"
"__pycache__","directory","0.1875 Kb","2020-03-10","2","./currency_converter/__pycache__"
".gitignore","file","0.0205078125 Kb","2020-03-08","2","./currency_converter/.gitignore"
"main.py","file","0.52734375 Kb","2020-03-10","2","./currency_converter/main.py"
"currency.py","file","1.7724609375 Kb","2020-03-11","2","./currency_converter/currency.py"
"__main__.py","file","0.076171875 Kb","2020-04-13","2","./currency_converter/__main__.py"
"currency.cpython-37.pyc","file","2.056640625 Kb","2020-03-08","3","./currency_converter/__pycache__/currency.cpython-37.pyc"
"main.cpython-37.pyc","file","0.673828125 Kb","2020-03-10","3","./currency_converter/__pycache__/main.cpython-37.pyc"
"__main__.cpython-37.pyc","file","0.2216796875 Kb","2020-03-08","3","./currency_converter/__pycache__/__main__.cpython-37.pyc"
"__init__.cpython-37.pyc","file","0.134765625 Kb","2020-03-08","3","./currency_converter/__pycache__/__init__.cpython-37.pyc"
"__init__.py","file","0.0 Kb","2020-05-25","2","./dir_explorer/__init__.py"
"__pycache__","directory","0.15625 Kb","2020-05-26","2","./dir_explorer/__pycache__"
"explorer.py","file","1.7880859375 Kb","2020-05-26","2","./dir_explorer/explorer.py"
".gitignore","file","0.0107421875 Kb","2020-05-26","2","./dir_explorer/.gitignore"
"utils.py","file","1.3662109375 Kb","2020-05-26","2","./dir_explorer/utils.py"
"static","directory","0.1875 Kb","2020-05-26","2","./dir_explorer/static"
"explorer.cpython-37.pyc","file","1.9267578125 Kb","2020-05-26","3","./dir_explorer/__pycache__/explorer.cpython-37.pyc"
"utils.cpython-37.pyc","file","2.166015625 Kb","2020-05-26","3","./dir_explorer/__pycache__/utils.cpython-37.pyc"
"__init__.cpython-37.pyc","file","0.12890625 Kb","2020-05-26","3","./dir_explorer/__pycache__/__init__.cpython-37.pyc"
"root_info.xls","file","53.5 Kb","2020-05-26","3","./dir_explorer/static/root_info.xls"
"ones_zeros","file","0.1943359375 Kb","2020-05-26","3","./dir_explorer/static/ones_zeros"
"root_info.csv","file","0.0 Kb","2020-05-26","3","./dir_explorer/static/root_info.csv"
"example.pdf","file","26.515625 Kb","2020-05-25","3","./dir_explorer/static/example.pdf"
"__init__.py","file","0.0 Kb","2020-03-06","2","./arith_list/__init__.py"
"__pycache__","directory","0.21875 Kb","2020-03-10","2","./arith_list/__pycache__"
".gitignore","file","0.0205078125 Kb","2020-03-07","2","./arith_list/.gitignore"
"arith_list.py","file","2.158203125 Kb","2020-03-10","2","./arith_list/arith_list.py"
"main.py","file","0.5205078125 Kb","2020-03-10","2","./arith_list/main.py"
"__main__.py","file","0.068359375 Kb","2020-03-07","2","./arith_list/__main__.py"
"arith_list.cpython-37.pyc","file","3.125 Kb","2020-03-10","3","./arith_list/__pycache__/arith_list.cpython-37.pyc"
"main.cpython-37.pyc","file","0.59375 Kb","2020-03-10","3","./arith_list/__pycache__/main.cpython-37.pyc"
"__main__.cpython-37.pyc","file","0.2041015625 Kb","2020-03-07","3","./arith_list/__pycache__/__main__.cpython-37.pyc"
"math_list.cpython-37.pyc","file","1.439453125 Kb","2020-03-07","3","./arith_list/__pycache__/math_list.cpython-37.pyc"
"__init__.cpython-37.pyc","file","0.1240234375 Kb","2020-03-06","3","./arith_list/__pycache__/__init__.cpython-37.pyc"
"config","file","0.3046875 Kb","2020-03-07","2","./.git/config"
"objects","directory","2.03125 Kb","2020-05-26","2","./.git/objects"
"HEAD","file","0.0224609375 Kb","2020-03-07","2","./.git/HEAD"
"info","directory","0.09375 Kb","2020-03-07","2","./.git/info"
"logs","directory","0.125 Kb","2020-03-07","2","./.git/logs"
"description","file","0.0712890625 Kb","2020-03-07","2","./.git/description"
"hooks","directory","0.40625 Kb","2020-03-07","2","./.git/hooks"
"refs","directory","0.15625 Kb","2020-03-07","2","./.git/refs"
"index","file","3.0009765625 Kb","2020-05-26","2","./.git/index"
"COMMIT_EDITMSG","file","0.0283203125 Kb","2020-05-26","2","./.git/COMMIT_EDITMSG"
"59","directory","0.09375 Kb","2020-05-25","3","./.git/objects/59"
